MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability
5.693089210308979,5.868760886470913,6.416324373089823,6.504178860405893,4.860860293757992,4.97898333994357,2.482211279732196,5.529932983359329,0.7134475720534059,4.249270525597377,8.794129133307427,9.8359377028208,1.629909989857412,3.473489546679213,4.576967216679186,5.040983087189811,8.159548369047847,6.611521816965542,6.579424592077086,5.228047280499499,0.5010801290799194
8.112261299451907,0.6536067726617985,4.3922721284648505,4.94023597735046,4.471239796429793,8.785773874206546,7.8520050429071695,5.711429119749291,6.471828874589324,3.217139930918205,7.587737228583414,2.6389731660567493,4.9527759256834765,0.014647294854094994,7.011969771581435,2.4553736590309887,1.8276362289366563,0.5585788853246418,6.3521257762125565,4.025622204277399,0.477747554486294
4.217830623397149,4.357591814674812,4.662711362173262,12.267145401205225,4.6746512746808255,2.782205965619309,8.22927705104269,1.6608632163071348,2.1183547088704184,3.3648713731955153,4.1080381463201405,8.140857315661863,0.0,4.180187319697386,1.643599907683487,5.397863414013794,13.048191278608483,7.541686604267726,8.466657822530577,10.885075233270221,0.5502805636495912
8.958352292398347,6.882737200871036,4.605704921237875,11.810189168758914,6.400798579553086,4.845373512628625,3.392718347309472,7.575261832075257,2.8581192013008843,3.7661567995919913,5.153558156046601,5.4978906524454265,3.8355504805907987,2.4786104360826386,5.7218551324427604,3.1190673361232033,4.594435680991045,4.9786108887964025,2.825255161836421,4.746003744172441,0.5492265724022731
11.147107475333437,4.874253066376858,3.1289809225072496,4.003104731726708,4.467091808104574,1.4842447376652275,5.450149185622975,6.831030593020384,0.5151944372699662,9.828500921349882,3.0712792544751197,6.811706709643316,5.519068377235938,3.0127412763744923,1.0628406920376507,7.059349960765962,6.637826591125621,7.910084214579008,4.475692049394267,3.6344502269343266,0.5599913139995872
4.597857307423462,1.8273579371061928,4.984480832669889,8.12090993824953,2.8266026582152612,5.81687641377744,6.457274667758808,6.064513762438189,3.7792096939511177,9.05540252153558,4.491561861539104,6.675731763017023,2.6246976086211684,6.566679115208299,2.872974663106919,3.849784641272837,8.090588910818722,0.0,3.020121381363219,3.296970285496199,0.4614491593205069
4.394461170064337,4.8663740330802705,4.8761523789992465,8.676125426022006,5.576904199227124,2.5049528423356313,3.7904562347301907,8.017688838875262,8.381982442336614,6.6792624803493945,5.142661994871208,0.04141127653711507,7.233509109315247,3.9858408694904166,3.853473406110779,3.1481748109003798,4.546278711051289,0.0,7.842723810811194,5.743741171503001,0.5172129238366909
9.066706200299617,8.812352513359528,5.554221842201891,4.784569385983465,1.5395682507763384,4.368609659894599,6.096583069721756,5.9984015762257945,5.597893008162121,2.85303752769162,4.816009853433749,4.980203866983564,7.676231499766834,2.41653322124704,6.1261737290314535,4.736456679361218,4.727707947199953,4.353493883868681,3.873837861048812,8.182241490255956,0.5543163248145417
9.37719318979089,7.785227217974041,5.204497198889969,2.1895579741088476,2.050622533699283,4.1598417825971685,5.3818688763317635,5.990120454517336,2.3282759667907396,7.008283892589494,7.992978225182737,4.4191653402653595,2.715290707034718,5.978357269083193,3.4155255379657494,5.803438225068142,3.8595039771034783,6.134201806013012,7.5700835589019775,7.431912116054065,0.5748569141508454
4.204121659558712,4.844808739905111,6.796513428643348,6.475486818611938,4.593934970876619,5.613817321605899,1.7198837334084716,8.466339967226256,7.2790257332906645,4.471488126013162,4.270040833451112,2.470333664966403,4.330184765540092,7.545990409511188,5.260067869967072,2.294480155598455,3.0030605444521985,3.7666432743229468,8.234088599319758,3.2917567714831337,0.4241769306541035
4.456750908062346,7.121519339053201,7.076574253274257,6.011575008980747,4.917935742234499,3.757406909667254,6.046177141169433,7.447228947478178,7.75757742411327,0.18012237481747206,2.9301248990428777,6.034752304199403,7.235095549771923,6.180232162828029,3.4457961884382144,3.8251842088923937,5.593476725652966,6.3081238617089905,5.916328845548176,3.236462996417475,0.49951599172119354
4.797291988234954,4.160746393956308,2.6716733990957526,5.251853710850134,1.7569700132333246,3.6627366680761275,2.5455403071043152,3.109815210656275,5.238620991979131,5.649954345556608,3.069199833742589,8.847861094401107,4.9969818390268586,0.0,3.795382520715889,5.222831228585686,4.682215378523427,7.195168018841175,5.647884316775266,7.789732019938832,0.49019308060727945
2.1825837490897873,1.1563730062841233,6.9544409970803,7.789127798392024,3.304271709730589,8.185648744615996,7.123870374976059,6.402298069786979,9.552945543494001,3.1191197027925415,6.463322926053353,0.0,1.8663863888488912,2.500312099587974,7.771534174082722,7.974279993279348,3.844858233527414,6.491471253964825,5.080539087303206,9.710379289731996,0.5792571463482057
3.230268644848511,2.907298294464202,2.3688553544094533,4.341741227084379,2.903614223252641,5.622002145464339,3.508491155623993,3.505527749697794,6.84197712887237,3.1950205355674313,1.8815274068644956,3.809859615668626,4.677863144781244,5.089923040124449,2.4122921048524715,0.0,3.975596692526139,5.235590533601551,4.28721015148761,4.664833553265165,0.3891169172368075
3.019921891224485,8.495110790746041,6.327628876569662,3.1822510155800035,3.1178942179486278,3.7390140121916966,4.653274206068228,6.114196560996589,6.531566930424726,4.4450571062530315,4.557164315425346,2.217901884288597,3.0833042786884644,4.439984182984049,6.674395947356947,6.360711731358501,6.274751459789241,5.218482630802748,4.018987303782007,7.700686167229305,0.44725854557319183
3.6014485171853914,4.368577842392656,6.398769510900619,6.82622644598078,5.6845596486205885,4.4297934374529175,8.096126121229933,6.0527072730868525,3.210899782211886,3.8893226361077446,7.960136302256169,5.166706463612327,7.490152127474737,4.255135700344705,4.977445205427994,4.132413708263981,3.1998099954207984,3.6330448211628754,4.6656191311631305,1.6975767713930798,0.5713613209872015
5.40528522139148,4.4373408223164486,0.7511990031283231,7.626310069520987,5.259091101500272,8.65215174474956,6.129736782184618,1.8998129480603798,6.408096970450054,4.929588773985062,5.656366348133373,4.277284689338876,6.361510356038054,2.7948925594435696,3.6950747821558294,3.8846578838574968,4.432203850518013,4.881537789492732,9.06274330185397,3.0959010593122054,0.4761582484528335
6.066917490083104,4.310517104139927,5.223405547059179,3.111030736351326,3.9569327327245776,4.46468409116411,2.5919410815936477,4.716562386126006,5.49055913328057,4.821825098533222,4.838942741351087,3.6504895206460874,4.294876588675448,1.8529426192320821,2.2620776473746713,3.468514268256752,6.996448695442605,2.719282313774069,2.6710117397716107,2.7228870495721935,0.43454264155315614
9.30566187383241,9.261719909845892,3.97057981392177,9.192803105739557,3.011504602830702,3.4534859043522665,2.7368723277383182,5.580823937995828,6.167723521556236,0.8015038971604769,4.925080715938988,6.54925013842533,5.319340880332507,9.457037780308408,2.4212027199006334,4.176300077284948,5.538339672670952,3.253792040316215,5.4506407550011255,5.916382927513385,0.5753142644650115
3.034160232883552,8.636797115863873,3.3228992924989953,1.3951018409302158,1.5692652806600298,3.4630174934626163,3.6699252567717053,4.014520250736759,3.476353361518349,8.414285745579843,2.7131310748326314,8.668009011565474,2.060439255517591,5.04461618359157,3.3310239249671705,6.373326558576828,2.6357731326081972,6.153057527000155,6.58057989950736,4.588526506162806,0.42802041704750377
